,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,clusters,uri,song,artist
0,0.496,0.597,0,-5.829,0,0.041,0.331,0.0,0.11,0.457,170.053,11,spotify:track:6dfzUFTQyR267pV4FAepVE,Warwick Avenue,Duffy
0,0.54,0.195,10,-11.952,1,0.0307,0.937,0.00079,0.18,0.42,133.967,1,spotify:track:3BNKlA2aDDS1dePsEldJ9V,Your Song,Ellie Goulding
0,0.772,0.358,8,-10.634,1,0.0438,0.794,0.0,0.104,0.759,124.926,16,spotify:track:2tObGsz9W4QdwidqOAzXNB,What Do You Mean? - Acoustic,Justin Bieber
0,0.323,0.138,8,-11.31,0,0.0359,0.851,0.0,0.112,0.2,90.937,15,spotify:track:13jOBWc4fSLNmDqCxZqo9v,Little Submarine - Live Uit Liefde Voor Muziek,The Starlings
0,0.561,0.0853,2,-15.099,1,0.0404,0.912,2.7e-05,0.112,0.206,102.127,5,spotify:track:70AYTQEYSoKBQX4B4yxRw1,you were good to me,Jeremy Zucker
0,0.497,0.634,0,-4.636,0,0.214,0.0829,5.95e-05,0.169,0.458,179.91,11,spotify:track:477hbByJIc6a6aTiK5iwOy,Weekend,Liam Payne
0,0.606,0.798,9,-4.445,1,0.0261,0.0127,0.0,0.144,0.655,103.02,4,spotify:track:1Vc81o0cjAuIEHE3RauhFS,Make You Mine,PUBLIC
0,0.618,0.951,8,-3.151,0,0.119,0.0263,0.022,0.131,0.277,86.652,6,spotify:track:1SImZGkHP19wTQu3lARuDm,Heaven,Emeli Sandé
0,0.58,0.649,3,-2.164,0,0.0318,0.741,0.0,0.637,0.607,86.981,0,spotify:track:0IRJ7aUWEoUm2U9F8OgDeB,My Kind Of Love,Emeli Sandé
0,0.567,0.725,0,-6.687,1,0.235,0.788,0.0,0.0399,0.728,149.424,19,spotify:track:2YGWxCy3yIld12OHCH1TiG,Where I Sleep,Emeli Sandé
0,0.532,0.391,1,-10.007,0,0.0256,0.133,0.00577,0.13,0.301,94.0,6,spotify:track:22t2KoYniACfVadpIHPjeW,Mountains,Emeli Sandé
0,0.443,0.24,7,-8.157,1,0.0354,0.917,0.000284,0.102,0.268,107.662,1,spotify:track:1I3kpv0LCThkArWKnXtRb1,Clown,Emeli Sandé
0,0.621,0.732,1,-5.179,1,0.0447,0.394,0.0,0.179,0.336,114.924,18,spotify:track:4in7nLFJ2vtZxpFZhXX1Rm,Daddy,Emeli Sandé
0,0.216,0.471,5,-7.614,1,0.0425,0.255,2.62e-06,0.0949,0.221,77.72,2,spotify:track:7e7ALKX9qVSHTZ0fefqaq9,Maybe,Emeli Sandé
0,0.45,0.354,9,-7.618,1,0.0341,0.509,0.0,0.0984,0.177,79.831,2,spotify:track:12H8k9KSTKSJkn3kY70Jdb,Suitcase,Emeli Sandé
0,0.604,0.124,1,-8.992,1,0.0422,0.867,0.0,0.211,0.353,118.19,5,spotify:track:4raIKEVNNbYZ9kpJgb1LdT,Breaking The Law,Emeli Sandé
0,0.671,0.824,9,-5.127,0,0.0341,0.0948,6.73e-05,0.106,0.341,95.0,6,spotify:track:1vr76NdOW2iHwdBfnKhsqU,Next To Me,Emeli Sandé
0,0.523,0.421,0,-6.62,1,0.0444,0.894,0.0,0.104,0.186,99.593,17,spotify:track:7aje6tJyTp4KLf6s5s3htz,River,Emeli Sandé
0,0.683,0.752,1,-4.821,0,0.0518,0.11,0.00488,0.168,0.74,96.989,13,spotify:track:2YedK9ztE2IDihP9ZMD4iy,Lifetime,Emeli Sandé
0,0.456,0.385,0,-9.652,1,0.0531,0.589,0.00287,0.114,0.0575,141.918,17,spotify:track:2UCmvll4IvGBgLGl9z64dJ,Hope,Emeli Sandé
0,0.634,0.439,2,-7.2,1,0.0252,0.826,3.04e-06,0.0975,0.351,98.001,5,spotify:track:3QG21FrPIlGpdsl9mDYjxN,"Read All About It, Pt. III",Emeli Sandé
0,0.571,0.864,0,-3.199,1,0.083,0.218,1.42e-06,0.13,0.243,124.029,18,spotify:track:187Afa6qxVe964k6YYq56u,Wonder,Naughty Boy
0,0.558,0.671,2,-4.706,1,0.033,0.00724,1.37e-05,0.205,0.089,115.041,18,spotify:track:6KTNJSXCBReSpzOowvOes8,Breaking The Law - Alternate Version,Emeli Sandé
0,0.436,0.748,7,-4.832,0,0.0523,0.23,2.21e-05,0.286,0.369,89.374,6,spotify:track:5MyNpBRPG89Oq2ARz5dXM8,Easier In Bed,Emeli Sandé
0,0.414,0.499,2,-6.53,1,0.0454,0.224,0.0,0.104,0.233,167.719,10,spotify:track:3SENiKSN3tztUjCK3Mor65,Beneath Your Beautiful,Labrinth
0,0.537,0.271,5,-9.213,1,0.041,0.964,0.000108,0.0872,0.379,149.782,1,spotify:track:66yRvcITRhs4p8lnZTVueL,Imagine,Emeli Sandé
0,0.706,0.873,7,-6.66,1,0.0524,0.0442,1.46e-06,0.11,0.385,94.931,2,spotify:track:4un1KGs8SE9E3TUmsKHZD3,Next To Me - Kendrick Lamar Remix,Emeli Sandé
0,0.433,0.62,5,-8.354,0,0.0541,0.0135,3.28e-06,0.105,0.344,173.826,11,spotify:track:44DLuB9ITtJ5AvVNr0zkYl,My Kind Of Love - RedOne And Alex P Remix,Emeli Sandé
0,0.674,0.615,0,-8.188,1,0.147,0.455,0.00091,0.208,0.756,85.048,19,spotify:track:03ZkvqZOANKndGXfAAPywG,Drown,Cuco
0,0.576,0.724,0,-5.147,1,0.0274,0.016,0.0,0.107,0.34,93.029,18,spotify:track:0qkdE1C0ufnUISKwhg8Wh6,What If I Never Get Over You,Lady A
